,GCA_000392485.2,GCF_000008065.1,GCF_000010145.1,GCF_000014425.1,GCF_000014525.1,GCF_000016825.1,GCF_000019245.4,GCF_000023085.1,GCF_000026505.1,GCF_000148815.2,GCF_000203855.3,GCF_000248095.2,GCF_000338115.2,GCF_000412205.1,GCF_001704335.1,GCF_014131735.1,GCF_041888805.1
GCA_000392485.2,0.0,0.141547804,0.127397066,0.140935953,0.094749349,0.11330832299999999,0.094749349,0.001317267,0.090297873,0.001317267,0.001317267,0.12093658499999999,0.001958324,0.002599286,0.002600015,0.001317267,0.11137429699999998
GCF_000008065.1,0.141547804,0.0,0.142697828,0.004511847,0.150196453,0.128609085,0.150196453,0.142865061,0.145744977,0.142865061,0.142865061,0.136237347,0.143506118,0.14414707999999998,0.144147809,0.142865061,0.126675059
GCF_000010145.1,0.127397066,0.142697828,0.0,0.142085977,0.136045715,0.06911930499999999,0.136045715,0.128714323,0.131594239,0.128714323,0.128714323,0.054658768999999996,0.12935538,0.129996342,0.129997071,0.128714323,0.067185279
GCF_000014425.1,0.140935953,0.004511847,0.142085977,0.0,0.149584602,0.12799723400000002,0.149584602,0.14225321,0.145133126,0.14225321,0.14225321,0.135625496,0.142894267,0.143535229,0.143535958,0.14225321,0.126063208
GCF_000014525.1,0.094749349,0.150196453,0.136045715,0.149584602,0.0,0.121956972,0.0,0.096066606,0.011904910000000001,0.096066606,0.096066606,0.129585234,0.096707663,0.09734862500000001,0.097349354,0.096066606,0.120022946
GCF_000016825.1,0.11330832299999999,0.128609085,0.06911930499999999,0.12799723400000002,0.121956972,0.0,0.121956972,0.11462557999999999,0.117505496,0.11462557999999999,0.11462557999999999,0.062658824,0.11526663699999999,0.115907599,0.11590832799999999,0.11462557999999999,0.0019340359999999999
GCF_000019245.4,0.094749349,0.150196453,0.136045715,0.149584602,0.0,0.121956972,0.0,0.096066606,0.011904910000000001,0.096066606,0.096066606,0.129585234,0.096707663,0.09734862500000001,0.097349354,0.096066606,0.120022946
GCF_000023085.1,0.001317267,0.142865061,0.128714323,0.14225321,0.096066606,0.11462557999999999,0.096066606,0.0,0.09161513,0.0,0.0,0.12225384199999999,0.000641067,0.001282029,0.0012827679999999999,0.0,0.11269155399999999
GCF_000026505.1,0.090297873,0.145744977,0.131594239,0.145133126,0.011904910000000001,0.117505496,0.011904910000000001,0.09161513,0.0,0.09161513,0.09161513,0.12513375799999998,0.092256187,0.09289714900000001,0.092897878,0.09161513,0.11557147000000001
GCF_000148815.2,0.001317267,0.142865061,0.128714323,0.14225321,0.096066606,0.11462557999999999,0.096066606,0.0,0.09161513,0.0,0.0,0.12225384199999999,0.000641067,0.001282029,0.0012827679999999999,0.0,0.11269155399999999
GCF_000203855.3,0.001317267,0.142865061,0.128714323,0.14225321,0.096066606,0.11462557999999999,0.096066606,0.0,0.09161513,0.0,0.0,0.12225384199999999,0.000641067,0.001282029,0.0012827679999999999,0.0,0.11269155399999999
GCF_000248095.2,0.12093658499999999,0.136237347,0.054658768999999996,0.135625496,0.129585234,0.062658824,0.129585234,0.12225384199999999,0.12513375799999998,0.12225384199999999,0.12225384199999999,0.0,0.12289489899999999,0.123535861,0.12353658999999999,0.12225384199999999,0.060724797999999997
GCF_000338115.2,0.001958324,0.143506118,0.12935538,0.142894267,0.096707663,0.11526663699999999,0.096707663,0.000641067,0.092256187,0.000641067,0.000641067,0.12289489899999999,0.0,0.000640972,0.0019238249999999999,0.000641067,0.11333261099999999
GCF_000412205.1,0.002599286,0.14414707999999998,0.129996342,0.143535229,0.09734862500000001,0.115907599,0.09734862500000001,0.001282029,0.09289714900000001,0.001282029,0.001282029,0.123535861,0.000640972,0.0,0.002564787,0.001282029,0.113973573
GCF_001704335.1,0.002600015,0.144147809,0.129997071,0.143535958,0.097349354,0.11590832799999999,0.097349354,0.0012827679999999999,0.092897878,0.0012827679999999999,0.0012827679999999999,0.12353658999999999,0.0019238249999999999,0.002564787,0.0,0.0012827679999999999,0.11397430199999999
GCF_014131735.1,0.001317267,0.142865061,0.128714323,0.14225321,0.096066606,0.11462557999999999,0.096066606,0.0,0.09161513,0.0,0.0,0.12225384199999999,0.000641067,0.001282029,0.0012827679999999999,0.0,0.11269155399999999
GCF_041888805.1,0.11137429699999998,0.126675059,0.067185279,0.126063208,0.120022946,0.0019340359999999999,0.120022946,0.11269155399999999,0.11557147000000001,0.11269155399999999,0.11269155399999999,0.060724797999999997,0.11333261099999999,0.113973573,0.11397430199999999,0.11269155399999999,0.0
